Element Group,Element Name,Atomic Number,Atomic Weight,Oxidation State,Electronegativity value,Uses/Importance,Common products in which the element is present,Valence electron
Halogens,Bromine,35,80,"+-2, +-5",3,Products containing bromine are used in agriculture and sanitation and as fire retardants (chemicals that help prevent things from catching fire). Some bromine-containing compounds were historically used as sedatives (drugs that can make people calm or sleepy).,"Elemental bromine is mainly used to manufacture flame retardants, pharmaceuticals, paper, dyes, insect repellents, drilling fluids, perfumes, photographic chemicals, water-treatment chemicals, and sanitizers. Bromine is also a key component of other chemicals. Crude salt is basic material in the chemical industry.",7
Noble Gases,Krypton,36,84,"0, +1, +2",3,"Krypton is used commercially as a filling gas for energy-saving fluorescent lights. It is also used in some flash lamps used for high-speed photography. Unlike the lighter gases in its group, it is reactive enough to form some chemical compounds.",certain electric and fluorescent lamps,8
Alkali Metals,Rubidium,37,85,1,0,"Rubidium salts are used in glasses and ceramics and in fireworks to give them a purple colour. Potential uses are in ion engines for space vehicles, as working fluid in vapor turbines, and as getter in vacuum tubes. Rubidium is considered to be the 16th most abundant element in the earth's crust.","A soft metal that ignites in the air and reacts violently with water. Rubidium is little used outside research. It has been used as a component of photocells, to remove traces of oxygen from vacuum tubes and to make special types of glass.",1
Alkaline Earth Metals,Stronium,38,88,2,1,Fireworks; Glass for color TV; Ferrite magnet,2,
Rare Earth Elements and Lanthanoid Elements,Yttrium,39,89,3,1.3,"color tv screen,microwave filters, transmitter and transducer",camera lenses,3
Transition Metals,Zirconium,40,91,4,1.4,Flash bulbs; Alloying agent in steel; Surgical appliances,"ceramics, foundry equipment, glass, chemicals, and metal alloys",2
Transition Metals,Niobium,41,93,"+3,5",1.6,Welding rods; Air frames systems; Superconductive magnets,stainless steel,5
Transition Metals,Molybdenum,42,96,"+3,5,6",1.8,Radar structural parts; Electrodes; Missile parts; Filament; Lubricant,"pure molybdic oxide and molybdates, and lubricant grade MoS2.",6
Transition Metals,Technetium,43,98,"+4,6,7",1.9,Radiation therapy; Corrosion inhibitor for steel,radiographic scanning devices,5
Transition Metals,Ruthenium,44,101,"+3, 4, 6, 8",2.2,used in the chemical industry to coat the anodes of electrochemical cells for chlorine production. Ruthenium is also used in catalysts for ammonia and acetic acid production.,"jewelry, electrical contacts, solar cells",8
Transition Metals,Rhodium,45,103,"+3, 4",2.2,"It reduces nitrogen oxides in exhaust gases. Rhodium is also used as catalysts in the chemical industry, for making nitric acid, acetic acid and hydrogenation reactions.","furnace windings, bushings for glass fiber production, thermocouple elements",9
Transition Metals,Palladium,46,106,"+2, 4",2.2,"an important component in electronics, and it is used in many new technologies, such as fuel cells. As a commodity, it has drawn the attention of investors because it is not easily substituted for other metals.","broadcasting equipment, mobile telephones, computers, electronic lighting and high voltage circuits.",10
Transition Metals,SIlver,47,108,1,1.9,"It is used for jewellery and silver tableware, where appearance is important. Silver is used to make mirrors, as it is the best reflector of visible light known, although it does tarnish with time.","Silverware, jewelry, electronics, cars.",1
Transition Metals,Cadmium,48,112,2,1.7,"Common industrial uses for cadmium today are in batteries, alloys, coatings (electroplating), solar cells, plastic stabilizers, and pigments.","batteries, pigments, metal coatings, and plastics",2
Other Metals,Indium,49,115,"+1, +3",1.78,"Indium is used to dope germanium to make transistors. It is also used to make other electrical components such as rectifiers, thermistors and photoconductors. Indium can be used to make mirrors that are as reflective as silver mirrors but do not tarnish as quickly. Indium is also used to make low melting alloys.","Television and cell phone screens, solar panels, microchips, glass, ball bearings, and fire-sprinkler systems",3
Other Metals,Tin,50,119,"+2, +4",1.96,#NAME?,Tin cans,4
Other Metals,Antimony,51,122,"-+3,5",2.05,Glass and pottery,,
Other Non Metals,Tellurium,52,128,"-2, +4, 6",2.1,"Tellurium has been used to vulcanise rubber, to tint glass and ceramics, in solar cells, in rewritable CDs and DVDs and as a catalyst in oil refining. It can be doped with silver, gold, copper or tin in semiconductor applications. Tellurium has no known biological role.","Tellurium has been used to vulcanise rubber, to tint glass and ceramics, in solar cells, in rewritable CDs and DVDs and as a catalyst in oil refining. It can be doped with silver, gold, copper or tin in semiconductor applications. Tellurium has no known biological role.",6
Halogens,Iodine,53,127,"+-1, +-5, 7",2.6,"Today, iodine has many commercial uses. Iodide salts are used in pharmaceuticals and disinfectants, printing inks and dyes, catalysts, animal feed supplements and photographic chemicals. Iodine is also used to make polarising filters for LCD displays.","Fish (such as cod and tuna), seaweed, shrimp, and other seafood, which are generally rich in iodine. Dairy products (such as milk, yogurt, and cheese) and eggs, which are also good sources of iodine. Iodized salt, which is readily available in the United States and many other countries*",7
Noble Gases,Xenon,54,131,"+½, +2, +4, +6, +8",2.6,"Xenon is used in certain specialised light sources. It produces a beautiful blue glow when excited by an electrical discharge. Xenon lamps have applications as high-speed electronic flash bulbs used by photographers, sunbed lamps and bactericidal lamps used in food preparation and processing.","Photographic flash lamps, stroboscopic lamps, high-intensitive arc-lamps for motion picture projection and high-pressure arc lamps",8
Alkali Metals,Cesium,55,133,1,0.7,Cesium is used in manufacturing optical glasses and other optical instruments. It is used to remove oxygen from light bulbs and vacuum tubes. A special application of cesium is that it is used in the manufacturing of most accurate atomic clock. It is also called as cesium clock.,"The most common use for caesium compounds is as a drilling fluid. They are also used to make special optical glass, as a catalyst promoter, in vacuum tubes and in radiation monitoring equipment. One of its most important uses is in the 'caesium clock' (atomic clock).",1
Alkaline Earth Metals,Barium,56,137,2,0.89,oil and gas industries to make drilling mud,,
Rare Earth Elements and Lanthanoid Elements,Lanthanum,57,139,3,1.1,Carbon lighting applications; Misch metal; Nodular cast iron products,,2
Rare Earth Elements and Lanthanoid Elements,Cerium,58,140,"+3,4",1.1,Misch metal coniponent; Glass manufacturing;,,2 or 4
Rare Earth Elements and Lanthanoid Elements,Praseodymium,59,141,3,1.1,"Coloring glass; Enamel; Core mat, for carbon arcs; Didymium glass component",,2 or 4
Rare Earth Elements and Lanthanoid Elements,Neodymium,60,144,3,1.2,Welders goggles; Didymium component,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Promethium,61,145,3,7.22,X-ray & heat source;,,7
Rare Earth Elements and Lanthanoid Elements,Samarium,62,150,"+2,3",1.2,Optical glass; Optical masers; Carbon arc lighting,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Europium,63,152,"+2,3",5.24,Laser materials; activator; Neutron absorber; Phosphor,,2
Rare Earth Elements and Lanthanoid Elements,Gadolinium,64,157,3,1.1,Neutron raciography; Nuclear marine propulsion; Magnetic component,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Terbium,65,159,3,1.2,Laser maerial; Green Phosphors activator; Crystal stabilizer,,2
Rare Earth Elements and Lanthanoid Elements,Dysprosium,66,163,3,-,Magnets for electric motor; Alloy; Metallurgy; Nuclear reactors,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Holmium,67,165,,1.2,Catalyst in industrial chemical reactiors; Electronic devices,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Erbium,68,167,3,1.2,Porcelain enamel glazes; Glass colorant,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Thulium,69,169,3,1.2,X-ray; energy source;,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Ytterbium,70,173,"+2,3",1.1,,,2 or 3
Rare Earth Elements and Lanthanoid Elements,Lutetium,71,175,3,1.2,,,2 or 3
Transition Metals,Hafnium,72,178,4,1.3,Nuclear submarines; Gas filled incandescent lamps; Reactor control rods,"refrigerants, herbicides, pharmaceuticals, high-octane gasoline, aluminum, plastics, electrical components, and fluorescent light bulbs",2
Transition Metals,Tantalum,73,181,5,1.5,Surgical instruments; Cutting tools; Capacitors; Vacuum furnace parts,"vulcanise rubber, to tint glass and ceramics, in solar cells, in rewritable CDs and DVDs and as a catalyst in oil refining.",2
Transition Metals,Tungsten,74,184,6,1.7,Lamp filaments; High speed tools; Space crafts; Lubricant; Paint,heavy metal alloys such as high speed steel,2
Transition Metals,Rhenium,75,186,"-1,6,7",1.9,Photoflash lamp; Thermocouples; lon gauges; Electrical device,"dill, yellow zucchini, romaine lettuce, and green zucchini",2
Transition Metals,Osmium,76,190,+3.4 ,2.2,"It is used to produce very hard alloys for fountain pen tips, instrument pivots, needles and electrical contacts.","ball point pen tips, fountain pen tips, record player needles, compass needles and electrical contacts.",2
Transition Metals,Iridium,77,192,3.4,2.2,"It is used in special alloys and forms an alloy with osmium, which is used for pen tips and compass bearings.","Fountain pens, Razor coating, Aircraft spark plugs, Forensic staining",2
Transition Metals,Platinum,78,195,"+2, 4",2.2,"is used in the chemicals industry as a catalyst for the production of nitric acid, silicone and benzene.","platinum pens, autocatalyst, glass, electronics",1
Transition Metals,Gold,79 ,197,"+1, 3",2.4,"s used to increase the value of a huge range of decorative items, such as medals and badges. Gold doesn't corrode or tarnish as quickly as copper and silver making it a great conductor of electricity and is highly resistant to heat.","jewerly,aircraft windows, medicines, and electronics",1
Transition Metals,Mercury,80,201,"+1, 2",1.9,It is used in some electrical switches and rectifiers. Previously its major use was in the manufacture of sodium hydroxide and chlorine by electrolysis of brine.,"Dental amalgam, batteries, jewerly, fluorescent lamps, paint",2
Other Metals,Thallium,81,204,"+1, +3",1.62,"It is found in trace amounts in the earth's crust. Thallium has not been produced in the United States since 1984, but is imported for use in the manufacture of electronics, low temperature thermometers, optical lenses, and imitation precious jewels. It also has use in some chemical reactions and medical procedures.","Electronic devices, switches, and closures.",3
Other Metals,Lead,82,207,"+2, +4",2.33,"Lead is still widely used for car batteries, pigments, ammunition, cable sheathing, weights for lifting, weight belts for diving, lead crystal glass, radiation protection and in some solders. It is often used to store corrosive liquids.","Bullets, Storage batteries",4
Other Metals,Bismuth,83,209,"+3,5",2.02,Fire detector,,
Other Metals,Polonium,84,209,"+2,4",2,Research purposes,,
Halogens,Astatine,85,210,-1,2.2,Astatine does not have many uses because of its radioactivity and extremely short life. It is mainly used for research. It is also used as a radioactive tracer and a treatment for thyroid cancer.,N/A,7
Noble Gases,Radon,86,222,"0, +2",2.2,"Radon is used to track air masses to a limited level, Changes in groundwater radon concentrations help in the prediction of Earthquake, A process called Radon hormesis is used to mitigate auto-immune diseases like arthritis, It is used in the treatment of cell damage and cancer, Radon is also used in radiation therapy.",Rock and soil,8
Alkali Metals,Francium,87,223,1,0.7,"Francium has been used in the field of research, chemistry and also in the atomic structure. It is used for diagnostics for curing cancers. It is also used in many spectroscopic experiments. Francium is a highly radioactive metal, and since it exhibits a short half-life, it does not have more impact on the environment.","All isotopes of francium decay into astatine, radium, or radon. Francium-223 also has a shorter half-life than the longest-lived isotope of each synthetic element up to and including element 105, dubnium.",1
Alkaline Earth Metals,Radium,88,226,2,0.9,Nuclear Panels,,
Actinoid Elements,Actinium,89,227,3,1.1,"As a radioactive element, the primary use of actinium is as a source of radiation. It is also used to produce bismuth-213, a radioactive isotope used in radioimmunotherapy. Actinium-225 is sometimes used in cancer treatments and actinium-227 is sometimes used to study the movement of fluids in oceans.",,2
Actinoid Elements,Thorium,90,232,4,1.3,"Thorium is used to make ceramics, welding rods, camera and telescope lenses, fire brick, heat resistant paint and metals used in the aerospace industry, as well as in nuclear reactions. Thorium has the potential to be used as a fuel for generating nuclear energy.",,4
Actinoid Elements,Protactinium,91,231,"+4,+5",1.5,"Because of its scarcity, high radioactivity, and high toxicity, there are currently no uses for protactinium outside scientific research, and for this purpose, protactinium is mostly extracted from spent nuclear fuel.",,2
Actinoid Elements,Uranium,92,238,"+3,+4,+5,+6",1.7,"Uranium is now used to power commercial nuclear reactors that produce electricity and to produce isotopes used for medical, industrial, and defense purposes around the world.",,6
Actinoid Elements,Neptunium,93,237,"+3,+4,+5,+6",1.3,"While neptunium itself has no commercial uses at present, it is used as a precursor for the formation of plutonium-238, which is in turn used in radioisotope thermal generators to provide electricity for spacecraft. Neptunium has also been used in detectors of high-energy neutrons.",,7
Actinoid Elements,Plutonium,94,244,"+3,+4,+5,+6",1.3,"Plutonium-238 generates significant heat through its radioactive decay process, which makes it useful as a heat source for sensitive electrical components in satellites, as a well as a power source (for example, battery power) for satellites. Plutonium-239 is used to make nuclear weapons.",,2
Actinoid Elements,Americium,95,243,"+3,+4,+5,+6",1.3,"Americium is commonly used in smoke alarms, but has few other uses. It has the potential to be used in spacecraft batteries in the future.",,2
Actinoid Elements,Curium,96,247,3,1.3,"Curium has two main uses: as a fuel for Radioisotope Thermal Generators (RTGs) on board satellites, deep space probes, planetary surface rovers and in heart pacemakers, and as a alpha emitter for alpha particle X-Ray spectrometry, again particularly in space applications.",,2
Actinoid Elements,Berkelium,97,247,"+3,+4",1.3,the element is not used biologically or for technological purposes. It was used for the atmospheric nuclear weapons tests between 1945 and 1980. ,,2
Actinoid Elements,Californium,98,251,3,1.3,"Californium is a radioactive metal. Californium is a very strong neutron emitter. It is used in portable metal detectors, for identifying gold and silver ores, to identify water and oil layers in oil wells and to detect metal fatigue and stress in aeroplanes.",,2
Actinoid Elements,Einsteinium,99,252,3,1.3,Einsteinium has no uses outside research. Einsteinium has no known biological role. It is toxic due to its radioactivity. Einsteinium can be obtained in milligram quantities from the neutron bombardment of plutonium in a nuclear reactor.,,2
Actinoid Elements,Fermium,100,257,3,1.3,"Fermium has no uses outside research. Fermium has no known biological role. It is toxic due to its radioactivity. Fermium can be obtained, in microgram quantities, from the neutron bombardment of plutonium in a nuclear reactor.",,2
Actinoid Elements,Mendelevium,101,258,"+2,+3",1.3,"Currently, there are no real uses for mendelevium, except in research. In time, mendelevium may be used for technology purposes and harvesting energy.",,2
Actinoid Elements,Nobelium,102,259,"+2,+3",1.3,Nobelium has no uses outside research. Nobelium has no known biological role. It is toxic due to its radioactivity. Nobelium is made by bombarding curium with carbon in a device called a cyclotron.,,2
Actinoid Elements,Lawrencium,103,262,3,1.3,"Only a few atoms of lawrencium have ever been made. Because of this, there is no commercial use for this element. Its only use is for research within a laboratory. Most actinides are used for their radioactive properties.",,3
Transition Metals,Rutherfordium,104,265,,,"At present, it is only used in research.",nuclear power and medicinal purposes.,2
Transition Metals,Dubnium,105,268,,,"at present, it is only used in research",na,5
Transition Metals,Seaborgium,106,271,,,"at present, it is only used in research",na,2
Transition Metals,Bohrium,107,272,,,is of research interest only.,"boric (or boracic) acid, borax (sodium borate) and boric oxide. ",2
Transition Metals,Hassium,108,270,"+8, +6, +4, +3, +2",no data,At present it is only used in research. Hassium has no known biological role.,No data (made in laboratory),2
Transition Metals,Meitnerium,109,278,"+9, +8, +6, +4, +3, +1",no data,"In time, meitnerium might be used for technology purposes and harvesting energy.",No data (made in laboratory),9
Transition Metals,Darmstadtium,110,281,"+8, +6, +4, +2, 0",no data,Darmstadtium has no known biological role.,No data ,10
Transition Metals,Roentgenium,111,281,"+8, +6, +4, +2, 0",no data,"only used for research purposes in scientific studies, to better understand its properties, and to create heavier elements.",No data ,2
Transition Metals,Copernicium,112,285,"0, +1, +2, +4, +6",no data,Only a few atoms of copernicium have ever been made. Its only use is in scientific research.,No data,2
Other Metals,Nihonium,113,286,"-1, +1, +3, +5",,"Currently, there is no commercial use of nihonium other than research within the laboratory. Because it has such a short life and is radioactive, there is very little known about it.",cannot be found in nature.,3
Other Metals,Flerovium,114,290,"0, +1, +2, +4, +6",,This radioactive metal finds its applications only in the field of research.,"never been found naturally, only produced in a laboratory",4
Other Metals,Moscovium,115,290,"+1, +3",,"Moscovium really doesn't have much use, other than to be studied by scientists.","Highly radioactive metal, only used in research",5
Other Metals,Livermorium,116,293,"+1, +3",,"Since only a few atoms of livermorium have ever been made and each one decays within milliseconds, not much is known about this element. Livermorium, therefore, has no commercial uses.",Only used in research,6
Halogens,Tennessine,117,294,"+1,+3",,"At present, tennessine is only used for research.",No Data,
Noble Gases,Organesson,118,295,"-1, 0, +1, +2, +4, +6",,"Since only a few atoms of oganesson have ever been produced, it currently has no uses outside of basic scientific research.",Only used in research,8
